YEAR,TOTAL BALLOTS COUNTED,VOTING-ELIGIBLE POPULATION,VOTING-AGE POPULATION,%NON - CITIZEN,TOTAL INELIGIBLE FELON, VOTING-ELIGIBLE POPULATION TURNOUT RATE
2012,"5,279,752"," 8,913,874	","9,838,883",8.90%,"49,348","59.23%	"
2016,"5,666,118	","9,005,114","9,887,574	",8.50%,"42,017	",62.92%
2020,"6,050,000","9,095,238	","9,906,975	",7.94%,"28,582	","66.52%	"
2024,"5,375,000	","9,020,606","9,862,416	",8.24%,"29,147",59.59%
